Every Fire Sale Item in 2023,,,,,,
,,,,,,
2023,,,,,,
,,,,,,
Cosmetic,Date Available,Stock,Price,Applied to,Animated,Skyblock ID
Glistening Melon Power Orb Skin,10-Mar-2023,"Unlimited sales
(active for 5 days)","1,350",Power Orbs,Yes,GLISTENING_MELON_FLUX
Golden Apple Power Orb Skin,,"Unlimited sales
(active for 5 days)","1,350",,,GOLDEN_APPLE_FLUX
Glowing Grape Power Orb Skin,,"Unlimited sales
(active for 5 days)","1,350",,,GLOWING_GRAPE_FLUX
Frog Barn Skin,24-Feb-2023,"Unlimited sales
(active for 5 days)","2,000",Barn,No,FROG_BARN_SKIN
Albino Scatha Skin,10-Feb-2023,"8,000","1,350",Scatha Pet,Yes,PET_SKIN_SCATHA_ALBINO
Golden Scatha Skin,,"8,000","1,350",,,PET_SKIN_SCATHA_GOLDEN
Dark Scatha Skin,,"8,000","1,350",,,PET_SKIN_SCATHA_DARK
Lunar Rabbit Hat Skin,22-Jan-2023,"8,000",650,Rabbit Hat,No,LUNAR_RABBIT_HAT
Lunar Rabbit Skin,,"8,000","1,350",Rabbit Pet,Yes,PET_SKIN_RABBIT_LUNAR
Cyberpunk Wither Goggles Skin,13-Jan-2023,"10,000","1,350",Wither Goggles,Yes,WITHER_GOGGLES_CYBERPUNK
Celestial Wither Goggles Skin,,"10,000","1,350",,,WITHER_GOGGLES_CELESTIAL
